887,유니트론텍,"7,500",30,-0.40%,500,"1,864,135",906,20.88,63.27,0.11,
888,케이씨티,"5,280",70,-1.31%,500,"80,102",906,-34.79,-34.75,1.87,
889,이트론,259,11,-4.07%,200,"29,228,387",905,N/A,N/A,2.82,
890,삼진엘앤디,"3,625",140,-3.72%,500,"3,861,255",905,7.24,-49.13,0.73,
891,나노브릭,"19,800",600,+3.13%,"1,000","66,354",903,8.20,-17.10,2.29,
892,녹원씨엔아이,"5,230",30,+0.58%,500,"91,665",903,-18.44,-47.59,0.47,
893,파수,"8,060",20,-0.25%,500,"98,631",899,9.73,-294.05,3.83,
894,이스트소프트,"9,050",60,-0.66%,500,"22,311",896,6.52,-239.38,1.38,
895,아이원스,"6,670",200,-2.91%,500,"255,694",895,N/A,N/A,6.33,
896,HRS,"5,470",270,-4.70%,500,"244,769",895,-10.58,-55.69,5.16,
897,엘아이에스,"5,560",50,-0.89%,500,"439,481",894,-31.32,-37.94,0.67,
898,베뉴지,"1,855",20,+1.09%,500,"486,518",894,12.56,194.94,0.92,
899,타이거일렉,"14,150",700,-4.71%,500,"164,983",893,3.90,-38.12,13.15,
900,제룡전기,"5,540",100,+1.84%,500,"453,964",890,6.40,107.05,1.15,
901,티엘아이,"9,000",340,-3.64%,500,"131,611",889,-13.43,101.33,0.94,
902,바이온,"1,415",5,+0.35%,500,"480,373",888,-44.01,-449.45,1.77,
903,코맥스,"5,920",70,-1.17%,500,"381,059",888,-0.90,16.84,3.32,
904,CNH,"2,385",105,+4.61%,"2,500","562,901",887,168.05,"1,113.66",0.58,
905,뉴프라이드,717,0,0.00%,0,0,886,47.50,31.03,0.00,
906,웨이브일렉트로,"6,020",190,-3.06%,500,"322,994",885,-22.43,-187.75,0.48,
907,휴비츠,"7,450",50,-0.67%,500,"88,038",885,11.57,40.76,6.06,
908,EMW,"2,780",0,0.00%,500,0,884,-21.67,-67.70,1.20,
909,동아엘텍,"8,280",40,-0.48%,500,"101,764",883,-19.95,-20.61,4.76,
910,대양제지,"3,275",125,+3.97%,500,"313,439",879,-7.92,-21.37,0.90,
911,GH신소재,"7,960",90,-1.12%,500,"453,912",876,2.93,142.05,4.14,
912,라이브파이낸셜,"1,940",10,-0.51%,"1,000","1,544,254",875,-6.41,-101.33,1.81,
