	종목명	현재가	전일비	등락률	액면가	거래량	시가총액	매출액증가율	영업이익증가율	외국인 비중
874	엔피디	"4,310"	70	-1.60%	500	"113,287"	928	19.02	64.77	1.23
1241	부스타	"5,690"	130	2.34%	500	"403,446"	478	17.82	63.47	2.25
909	유니트론텍	"7,310"	190	-2.53%	500	"549,962"	883	20.88	63.27	0
1023	본느	"2,415"	10	0.42%	100	"186,496"	741	60.86	62.64	0.91
1053	에프알텍	"6,240"	100	-1.58%	500	"76,623"	711	6.27	60.63	2.11
1359	동양에스텍	"3,075"	45	-1.44%	500	"24,149"	308	12.19	58.93	0.11
1289	동방선기	"3,140"	15	-0.48%	500	"240,666"	425	38.52	55.58	0.2
1352	아이컴포넌트	"4,530"	30	0.67%	500	"76,433"	320	12.95	54.83	5.85
1029	씨큐브	"7,280"	0	0.00%	500	"58,040"	738	8.11	54.24	0.61
1086	아이엘사이언스	"3,150"	60	1.94%	100	"128,703"	668	10.74	52.08	0.68
1176	나노캠텍	"1,990"	45	2.31%	500	"576,595"	559	0.54	50.41	2.26
905	원익	"4,870"	60	1.25%	500	"175,725"	886	12.57	49.25	5.31
1381	세동	"2,080"	120	6.12%	500	"454,429"	241	4.67	49.25	3.93
990	대륙제관	"4,955"	285	6.10%	500	"676,461"	788	0.48	48.65	4.51
1057	비에이치아이	"2,710"	90	-3.21%	500	"177,128"	705	5.21	46.41	1.55
1016	자연과환경	"1,405"	5	0.36%	500	"1,381,805"	747	27.72	45.67	1.67
1139	모바일리더	"18,450"	550	-2.89%	500	"45,068"	606	53.53	44.42	2.63
864	코프라	"4,430"	70	-1.56%	500	"921,741"	935	13.34	44.41	3.06
884	휴비츠	"7,690"	240	3.22%	500	"175,552"	914	11.57	40.76	6.05
1131	판타지오	845	5	0.60%	500	"1,447,034"	614	35.98	40.74	1.05
1440	아이엠텍	214	0	0.00%	500	0	93	17.75	39.25	1.39
808	지엔씨에너지	"6,450"	80	1.26%	500	"1,047,377"	"1,051"	33.55	39	1.13
853	모베이스	"3,980"	90	2.31%	500	"3,134,951"	954	73.86	38.6	0.71
862	이엠넷	"4,210"	10	0.24%	500	"41,210"	938	16.14	37.85	26.16
1093	효성오앤비	"7,790"	50	0.65%	500	"46,958"	661	3.23	36.99	1.66
1000	흥국에프엔비	"2,015"	35	1.77%	100	"616,661"	774	12.84	36.72	1.7
1064	에스에이티	"2,670"	20	0.75%	500	"976,095"	698	4.65	36.36	2.29
1197	테라셈	"2,500"	90	-3.47%	500	"438,593"	529	40.92	35.85	0.29
1073	전진바이오팜	"11,300"	100	0.89%	500	"194,269"	683	185.25	35.25	1.01
835	씨엠에스에듀	"5,290"	50	-0.94%	500	"53,096"	986	17.07	34.49	0.37
978	엠젠플러스	"4,075"	0	0.00%	500	0	808	5.26	32.31	1.2
803	컴퍼니케이	"6,760"	30	0.45%	500	"247,802"	"1,055"	13.78	32.23	0.52
1095	지엘팜텍	"1,400"	80	-5.41%	100	"2,326,143"	661	32.63	31.62	0.36
904	뉴프라이드	717	0	0.00%	0	0	886	47.5	31.03	12.91
1220	에이디칩스	980	9	0.93%	500	"1,539,431"	509	39.89	29.68	1.23
871	앤씨앤	"4,440"	235	-5.03%	500	"334,551"	930	33.51	29.66	1.8
991	티라유텍	"14,500"	600	4.32%	100	"684,978"	788	25.33	29.54	0.95
976	해덕파워웨이	"1,100"	0	0.00%	100	0	811	17.21	29.52	2.38
892	지니틱스	"2,540"	15	-0.59%	100	"414,947"	904	17.99	28.45	1.3
824	태웅로직스	"5,200"	80	-1.52%	100	"311,654"	"1,016"	17.27	28.17	0.61
1236	헝셩그룹	617	5	-0.80%	0	"662,804"	494	10.38	27.13	29.44
924	팜스빌	"10,900"	50	-0.46%	500	"22,249"	864	51.02	26.88	0.21
1065	배럴	"8,820"	10	0.11%	500	"32,247"	696	19.73	26.64	0.54
1099	이건홀딩스	"2,895"	75	-2.53%	"1,000"	"275,554"	654	52.83	26.37	0.61
839	토탈소프트	"11,450"	"2,620"	29.67%	500	"672,561"	980	1.61	24.41	0.17
